STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12450 - LANESVILLE","1","19","248",8,"30"
"12451 - LEEDS","10","213","738",29,"112"
"12454 - MAPLECREST","2","32","148",22,"84"
"12460 - OAK HILL","0","0","33",0,"0"
"12463 - PALENVILLE","10","191","618",31,"120"
"12468 - PRATTSVILLE","6","66","591",11,"43"
"12469 - PRESTON HOLLOW","6","106","243",44,"170"
"12470 - PURLING","5","96","278",35,"134"
"12473 - ROUND TOP","6","106","345",31,"120"
"12480 - SHANDAKEN","0","0","502",0,"0"
"12482 - SOUTH CAIRO","4","75","406",19,"72"
"12485 - TANNERSVILLE","6","108","382",28,"110"
"12492 - WEST KILL","3","61","184",33,"129"
"12496 - WINDHAM","8","150","598",25,"98"
"12502 - ANCRAM","10","151","675",22,"87"
"12503 - ANCRAMDALE","4","65","201",32,"126"
"12513 - CLAVERACK","6","102","438",23,"91"
"12516 - COPAKE","9","159","738",22,"84"
"12517 - COPAKE FALLS","2","43","172",25,"97"
"12521 - CRARYVILLE","16","254","669",38,"148"
"12523 - ELIZAVILLE","12","208","732",28,"111"
"12526 - GERMANTOWN","29","428","1,455",29,"114"
"12529 - HILLSDALE","16","297","1,031",29,"112"
"12534 - HUDSON","111","1,902","8,082",24,"92"
"12546 - MILLERTON","2","266","1,440",19,"72"
"12565 - PHILMONT","5","87","392",22,"86"
"12567 - PINE PLAINS","4","344","808",43,"166"
"12571 - RED HOOK","4","662","3,735",18,"69"
"12583 - TIVOLI","6","604","1,078",56,"218"
"12801 - GLENS FALLS","68","1,466","6,674",22,"85"
"12803 - SOUTH GLENS FALLS","44","1,080","3,583",30,"117"
"12804 - QUEENSBURY","100","2,047","10,582",19,"75"
"12808 - ADIRONDACK","1","16","186",9,"33"
"12809 - ARGYLE","14","259","1,449",18,"70"
"12810 - ATHOL","4","89","342",26,"101"
"12812 - BLUE MOUNTAIN LAKE","1","22","100",22,"86"
"12814 - BOLTON LANDING","10","167","644",26,"101"
"12815 - BRANT LAKE","3","42","348",12,"47"
"12816 - CAMBRIDGE","24","431","1,627",27,"103"
"12817 - CHESTERTOWN","10","174","1,053",17,"64"
"12819 - CLEMONS","2","25","181",14,"54"
"12821 - COMSTOCK","3","54","166",33,"127"
"12822 - CORINTH","31","674","2,973",23,"88"
"12823 - COSSAYUNA","0","0","53",0,"0"
"12824 - DIAMOND POINT","8","129","474",27,"106"
"12827 - FORT ANN","31","598","2,160",28,"108"
"12828 - FORT EDWARD","44","961","3,715",26,"101"
"12831 - GANSEVOORT","69","1,716","7,109",24,"94"
"12832 - GRANVILLE","28","522","2,437",21,"83"
"12833 - GREENFIELD CENTER","23","471","1,985",24,"92"
"12834 - GREENWICH","34","557","2,296",24,"94"
"12835 - HADLEY","12","223","1,151",19,"75"
"12836 - HAGUE","8","117","290",40,"157"
"12837 - HAMPTON","4","72","408",18,"69"
"12838 - HARTFORD","3","50","287",17,"68"
"12839 - HUDSON FALLS","70","1,444","5,155",28,"109"
"12842 - INDIAN LAKE","6","91","488",19,"73"
"12843 - JOHNSBURG","8","148","325",46,"177"
"12844 - KATTSKILL BAY","1","9","132",7,"27"
"12845 - LAKE GEORGE","32","617","2,168",29,"111"
"12846 - LAKE LUZERNE","16","341","1,382",25,"96"
"12847 - LONG LAKE","5","88","322",27,"106"
"12849 - MIDDLE GRANVILLE","2","58","212",27,"106"
"12850 - MIDDLE GROVE","11","251","1,079",23,"91"
"12853 - NORTH CREEK","12","252","979",26,"100"
"12854 - NORTH GRANVILLE","2","39","148",26,"103"
"12859 - PORTER CORNERS","8","180","705",26,"99"
"12860 - POTTERSVILLE","5","82","224",37,"142"
"12861 - PUTNAM STATION","2","36","226",16,"62"
"12863 - ROCK CITY FALLS","3","84","455",19,"72"
"12864 - SABAEL","0","0","15",0,"0"
"12865 - SALEM","20","321","1,360",24,"92"
"12866 - SARATOGA SPRINGS","202","4,014","17,290",23,"90"
"12871 - SCHUYLERVILLE","18","373","1,895",20,"77"
"12873 - SHUSHAN","10","146","358",41,"159"
"12874 - SILVER BAY","0","0","34",0,"0"
"12878 - STONY CREEK","1","13","246",5,"21"
"12883 - TICONDEROGA","42","491","2,161",23,"88"
"12885 - WARRENSBURG","18","368","2,057",18,"70"
"12886 - WEVERTOWN","2","32","133",24,"94"
"12887 - WHITEHALL","26","429","2,026",21,"82"
"13317 - CANAJOHARIE","25","458","1,633",28,"109"
"13320 - CHERRY VALLEY","41","212","718",30,"115"
"13329 - DOLGEVILLE","59","417","1,804",23,"90"
"13339 - FORT PLAIN","36","524","2,483",21,"82"
"13360 - INLET","3","26","147",18,"69"
"13428 - PALATINE BRIDGE","8","180","820",22,"85"
"13436 - RAQUETTE LAKE","0","0","27",0,"0"
"13452 - SAINT JOHNSVILLE","25","477","1,920",25,"97"
"13459 - SHARON SPRINGS","9","179","873",21,"80"
"13470 - STRATFORD","3","45","267",17,"66"
"81122 - BAYFIELD","27","688","3,798",18,"70"
"81137 - IGNACIO","19","552","2,409",23,"89"
"81301 - DURANGO","139","3,337","14,119",24,"92"
"81303 - DURANGO","31","846","3,421",25,"96"
"81321 - CORTEZ","83","1,698","6,632",26,"100"
"81323 - DOLORES","17","360","1,900",19,"74"
"81326 - HESPERUS","8","201","896",22,"87"
"81327 - LEWIS","1","17","167",10,"40"
"81328 - MANCOS","17","386","2,022",19,"74"
"81331 - PLEASANT VIEW","5","111","295",38,"146"
"81335 - YELLOW JACKET","1","17","91",19,"73"
"85901 - SHOW LOW","50","1,985","8,435",24,"92"
"85920 - ALPINE","4","55","250",22,"86"
"85924 - CONCHO","8","156","1,003",16,"61"
"85925 - EAGAR","25","345","1,371",25,"98"
"85927 - GREER","3","53","163",33,"127"
"85936 - SAINT JOHNS","19","296","1,444",21,"80"
"85938 - SPRINGERVILLE","11","243","1,026",24,"92"
"86502 - CHAMBERS","26","385","1,296",30,"116"
"86503 - CHINLE","93","1,693","5,780",29,"114"
