yesMeatAlt,noMeatAlt,income,gender,age,race
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"WHITE, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"BLACK, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 65+ ,"ASIAN, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 65+ ,"ASIAN, NON-HISPANIC  "
0,1," $15,000 - $19,999 ", MALE , 65+ ,"ASIAN, NON-HISPANIC  "
1,0," $15,000 - $19,999 ", MALE , 65+ ,OTHER NON-HISPANIC  
0,1," $15,000 - $19,999 ", MALE , 65+ ,OTHER NON-HISPANIC  
0,1," $15,000 - $19,999 ", MALE , 65+ ,OTHER NON-HISPANIC  
1,0," $15,000 - $19,999 ", MALE , 65+ ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 65+ ,HISPANIC OR LATINO  
1,0," $15,000 - $19,999 ", MALE , 65+ ,HISPANIC OR LATINO  
