STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"12845 - LAKE GEORGE","80","1,551","2,168",72,"98"
"12846 - LAKE LUZERNE","55","1,008","1,382",73,"100"
"12847 - LONG LAKE","13","220","322",68,"93"
"12849 - MIDDLE GRANVILLE","6","131","212",62,"84"
"12850 - MIDDLE GROVE","34","807","1,079",75,"102"
"12853 - NORTH CREEK","35","727","979",74,"101"
"12854 - NORTH GRANVILLE","5","109","148",74,"101"
"12859 - PORTER CORNERS","25","525","705",75,"102"
"12860 - POTTERSVILLE","9","142","224",63,"87"
"12861 - PUTNAM STATION","15","179","226",79,"108"
"12863 - ROCK CITY FALLS","15","371","455",82,"111"
"12864 - SABAEL","1","15","15",100,"137"
"12865 - SALEM","63","1,001","1,360",74,"100"
"12866 - SARATOGA SPRINGS","661","13,101","17,290",76,"103"
"12871 - SCHUYLERVILLE","73","1,474","1,895",78,"106"
"12873 - SHUSHAN","14","212","358",59,"81"
"12874 - SILVER BAY","2","34","34",100,"137"
"12878 - STONY CREEK","12","233","246",95,"129"
"12883 - TICONDEROGA","153","1,638","2,161",76,"103"
"12885 - WARRENSBURG","81","1,689","2,057",82,"112"
"12886 - WEVERTOWN","5","101","133",76,"104"
"12887 - WHITEHALL","94","1,587","2,026",78,"107"
"13317 - CANAJOHARIE","66","1,169","1,633",72,"98"
"13320 - CHERRY VALLEY","98","502","718",70,"95"
"13329 - DOLGEVILLE","197","1,334","1,804",74,"101"
"13339 - FORT PLAIN","123","1,933","2,483",78,"106"
"13360 - INLET","12","121","147",82,"112"
"13428 - PALATINE BRIDGE","31","625","820",76,"104"
"13436 - RAQUETTE LAKE","2","27","27",100,"137"
"13452 - SAINT JOHNSVILLE","74","1,431","1,920",75,"102"
"13459 - SHARON SPRINGS","40","694","873",80,"109"
"13470 - STRATFORD","20","222","267",83,"114"
"81122 - BAYFIELD","121","3,069","3,798",81,"110"
"81137 - IGNACIO","67","1,857","2,409",77,"105"
"81301 - DURANGO","443","10,590","14,119",75,"102"
"81303 - DURANGO","100","2,524","3,421",74,"101"
"81321 - CORTEZ","251","4,842","6,632",73,"100"
"81323 - DOLORES","62","1,480","1,900",78,"106"
"81326 - HESPERUS","29","695","896",78,"106"
"81327 - LEWIS","7","150","167",90,"123"
"81328 - MANCOS","68","1,614","2,022",80,"109"
"81331 - PLEASANT VIEW","9","184","295",62,"85"
"81335 - YELLOW JACKET","4","74","91",81,"111"
"85901 - SHOW LOW","159","6,381","8,435",76,"103"
"85920 - ALPINE","12","175","250",70,"96"
"85924 - CONCHO","37","847","1,003",84,"115"
"85925 - EAGAR","63","1,026","1,371",75,"102"
"85927 - GREER","6","99","163",61,"83"
"85936 - SAINT JOHNS","71","1,148","1,444",80,"109"
"85938 - SPRINGERVILLE","45","733","1,026",71,"98"
"86502 - CHAMBERS","53","877","1,296",68,"92"
"86503 - CHINLE","205","4,087","5,780",71,"97"
"86505 - GANADO","170","3,221","4,754",68,"92"
"86506 - HOUCK","19","372","509",73,"100"
"86507 - LUKACHUKAI","15","265","424",63,"85"
"86508 - LUPTON","19","367","470",78,"107"
"86511 - SAINT MICHAELS","48","884","1,479",60,"82"
"86514 - TEEC NOS POS","70","1,291","1,739",74,"101"
"86515 - WINDOW ROCK","21","346","398",87,"119"
"86535 - DENNEHOTSO","27","390","535",73,"100"
"86538 - MANY FARMS","14","158","195",81,"111"
"86547 - ROUND ROCK","15","308","454",68,"93"
"87001 - ALGODONES","36","970","1,411",69,"94"
"87002 - BELEN","306","5,837","7,892",74,"101"
"87004 - BERNALILLO","143","3,229","4,249",76,"104"
"87005 - BLUEWATER","34","603","905",67,"91"
"87006 - BOSQUE","21","415","571",73,"99"
"87007 - CASA BLANCA","18","297","384",77,"106"
"87008 - CEDAR CREST","35","748","1,003",75,"102"
"87010 - CERRILLOS","17","426","526",81,"111"
"87012 - COYOTE","5","63","70",90,"123"
"87013 - CUBA","56","1,272","1,629",78,"107"
"87014 - CUBERO","49","852","1,150",74,"101"
"87015 - EDGEWOOD","168","4,228","5,883",72,"98"
"87016 - ESTANCIA","58","1,132","1,688",67,"92"
"87017 - GALLINA","7","92","99",93,"127"
"87020 - GRANTS","221","3,622","5,075",71,"97"
